Player,URL,Athleticism
CooperFlagg,https://www.nbadraft.net/players/cooper-flagg/,9.0
DylanHarper,https://www.nbadraft.net/players/dylan-harper/,8.0
VJEdgecombe,https://www.nbadraft.net/players/v-j-edgecombe/,
AceBailey,https://www.nbadraft.net/players/ace-bailey/,9.0
JeremiahFears,https://www.nbadraft.net/players/jeremiah-fears/,
